Bericht,Anzahl Tote,Anzahl Verletzte,Gesamter Sachschaden
024_Recklinghausen,0,2,"190.000 Euro"
102_Meppen,1,0,"35.000 Euro"
041_Gröbers-Grosskugel,0,0,"179.500 Euro"
046_Falkenberg (Elster),0,0,"31.000 Euro"
072_Goslar,0,0,"96.000 Euro"
038_Bleicherode,0,1,"8.950.000 Euro"
140_Neuss_Gbf,0,0,"215.000 Euro"
115_Einsiedlerhof,0,0,"1.090.000 Euro"
020_Gelsenkirchen,0,0,"285.000 Euro"
123_Bremen,0,0,"2.446.000 Euro"
109_Eilenburg,0,0,"103.910 Euro"
175_Jübek_-_Flensburg_Weiche,0,3,"190.380 Euro"
211_Oberhausen_West,0,0,"3.126.000 Euro"
073_Eilendorf_Hp_−_Aachen-Rothe_Erde,0,0,"2.092.309 Euro"
036_Müllheim,0,0,"10.334.885 Euro"
055_Hosena,1,1,"7.214.000 Euro"
104_Duisburg-Wedau_-_Lintorf,0,0,"960.000 Euro"
119_Duisburg_Wedau,0,0,"2.593.000 Euro"
182_Duisburg-Wedau,0,0,"2.593.000 Euro"
167_Köln_Bonntor_-_Köln_Süd,0,0,"2.200.000 Euro"
124_Moers,0,0,"1.890.000 Euro"
169_Schkeuditz,0,2,"883.000 Euro"
150_Storzingen_-_Inzigkofen,0,0,"0 Euro"
100_Vilseck_Freihung,2,19,"3.200.000 Euro"
027_Geldern,0,2,"10.800.000 Euro"
071_Frellstedt,0,0,"1.270.000 Euro"
198_Bremerhaven_Seehafen,1,4,"122.000 Euro"
015_Berlin-Karow,0,13,"800.000 Euro"
029_Bacharach,0,0,"495.000 Euro"
212_Augsburg_Hbf,0,0,"3.130.000 Euro"
056_Berlin Hauptbahnhof,0,1,"1.135.000 Euro"
146_München_Ost_Rbf,0,2,"140.000 Euro"
130_Freiburg_Breisgau_Gbf,0,0,"240.000 Euro"
127_Reiskirchen_-_Grossen-Buseck,0,20,"1.000.000 Euro"
148_Essen-Werden,0,1,"669.000 Euro"
054_Mühlheim Ost - Hanau Hbf,3,14,"1.887.500 Euro"
152_Hamburg-Bergedorf_-_Aumühle,1,0,"38.934 Euro"
128_Gross_Rohrheim,0,0,"813.000 Euro"
017_Nürnberg-Stein,0,0,"632.609 Euro"
209_Oberkochen_-_Königsbronn,1,7,"200.000 Euro"
190_Bitterfeld_-_Wolfen,0,0,"870.000 Euro"
096_Gruiten,0,0,"0 Euro"
118_Hohenlimburg,0,3,"27.500 Euro"
219_Fallersleben,0,1,"3.655.000 Euro"
013_Tornesch,0,0,k. A.
129_Basel_Bad_Rbf,0,5,k. A.
214_Hamburg-Altona,0,0,"2.500 Euro"
142_Wanne-Eickel_Gbf,0,1,"310.900 Euro"
224_Würzburg,0,0,"2.000.000 Euro"
178_Belzig_-_Wiesenburg_Mark,0,0,"3.832.000 Euro"
166_Weil_am_Rhein,0,0,"90.000 Euro"
049_Bremen,0,4,"2.484.500 Euro"
105_Leese-Stolzenau,0,2,"8.765.000 Euro"
083_Löhne_Westf,0,0,"1.508.000 Euro"
205_Bremen-Neustadt,0,0,"1.080.000 Euro"
111_Cuxhaven,0,2,"3.000.000 Euro"
153_Horb,0,0,"204.000 Euro"
139_Aichach,2,13,"5.001.000 Euro"
168_Unkel,0,1,"1.377.000 Euro"
004_Hannover-Langenhagen,0,16,"3.600.000 DM"
165_Papiermühle_Kr_Stadtroda_-_Stadtroda,0,8,"1.663.700 Euro"
207_Hamm_Westf_Rbf,0,0,"150.000 Euro"
176_Gaildorf_West_-_Schwäbisch_Hall-Hessental,0,0,"1.740.000 Euro"
217_Griesen_Oberbay,0,0,"0 Euro"
161_Hoffenheim_Reilsheim,0,0,"0 Euro"
216_München-Riem,0,1,"5.255.000 Euro"
232_Eberbach,1,1,k. A.
008_Vilseck,3,21,"6.000.000 DM"
006_Osnabrück,0,0,"4.576.600 Euro"
057_Gladbeck West,0,1,"2.188.500 Euro"
003_Fichtenberg,1,23,k. A.
039_Werlau - St. Goar,0,15,"2.400.000 Euro"
240_Ludwigshafen-Oggersheim,0,0,k. A.
009_Berlin Südkreuz,0,39,"100.000 Euro"
040_Espelkamp,1,32,"320.300 Euro"
241_Berlin-Lichtenberg,0,0,"527.150 Euro"
235_Saarbrücken,0,0,"890.000 Euro"
162_Schwaigen_-_Landau_an_der_Isar,1,2,"847.000 Euro"
218_Köln_Eifeltor,0,0,"1.140.000 Euro"
180_Bitburg-Erdorf_-_Kyllburg,0,0,"5.561.000 Euro"
187_Worms_-_Hofheim_Ried,0,0,"512.800 Euro"
239_Mannheim,0,2,"116.330 Euro"
138_Plochingen,0,0,"60.000 Euro"
043_Hannover-Linden,0,0,"1.011.000 Euro"
225_München_Nord,1,0,"163.000 Euro"
065_Mannheim_Hbf,0,4,"2.334.000 Euro"
222_Wengern_Ost,0,0,"1.650.000 Euro"
221_Bietigheim-Bissingen,0,0,"328.000 Euro"
022_Stuttgart-Unterturkheim,0,1,"883.000 Euro"
206_Demmin,0,0,"466.900 Euro"
059_Vahr(Abzw)-Bremen Hbf,0,0,"4.455.600 Euro"
108_Neustadt_am_Rübenberge_-_Hagen_Han,1,15,"800.000 Euro"
213_Biesdorfer_Kreuz_Ost_-_Berlin_Kaulsdorf,0,0,"2.800.000 Euro"
183_Hausach_-_Haslach,0,0,"2.512.000 Euro"
005_Holzdorf,1,27,"2.000.000 Euro"
151_Bad_Friedrichshall_Hbf,0,1,"85.000 Euro"
014_Landrückentunnel,k. A.,k. A.,k. A.
228_Hürth-Kalscheuren_-_Brühl,2,5,"10.000 Euro"
220_Rüsselsheim,0,5,"4.315.000 Euro"
223_Flandersbach,0,0,"80.000 Euro"
194_Berlin_Zoologischer_Garten_-_Berlin_Hbf,0,4,"162.000 Euro"
044_Peine,0,20,"5.360.500 Euro"
053_Stuttgart Hbf,0,8,"2.111.000 Euro"
233_Grosswalbur_-_Meeder,2,1,"180.500 Euro"
133_Willroth_-_Montabaur,0,5,"31.300.000 Euro"
227_Berlin-Lichtenberg,0,0,"636.000 Euro"
082_Forchheim_(Oberfranken),0,2,"240.000 Euro"
230_Bruchköbel_-_Nidderau,0,0,"0 Euro"
126_Burgstall_Murr,0,0,"683.000 Euro"
229_Lauenbrück,0,0,"2.750.000 Euro"
234_Seelze_Ost,0,1,"5.000.000 Euro"
238_Ebenhausen-Schäftlarn,1,57,"3.326.000 Euro"
236_Dreileben-Drackenstedt,0,1,"4.350.000 Euro"
164_Müllheim_Baden_-_Schliengen,1,10,"5.462.000 Euro"
199_Weissenberg_-_Meerbusch-Osterath,0,39,"21.208.100 Euro"
